Trial 29 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 792, 'max_depth': 14, 'min_samples_split': 56, 'min_samples_leaf': 29, 'criterion': 'entropy'}.
Trial 30 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 983, 'max_depth': 56, 'min_samples_split': 104, 'min_samples_leaf': 59, 'criterion': 'entropy'}.
Trial 31 finished with value: 0.6304347826086957 and parameters: {'n_estimators': 836, 'max_depth': 5, 'min_samples_split': 24, 'min_samples_leaf': 44, 'criterion': 'entropy'}.
Trial 32 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 702, 'max_depth': 11, 'min_samples_split': 24, 'min_samples_leaf': 52, 'criterion': 'entropy'}.
Trial 33 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 864, 'max_depth': 25, 'min_samples_split': 11, 'min_samples_leaf': 34, 'criterion': 'entropy'}.
Trial 34 finished with value: 0.717391304347826 and parameters: {'n_estimators': 795, 'max_depth': 11, 'min_samples_split': 27, 'min_samples_leaf': 49, 'criterion': 'entropy'}.
Trial 35 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 570, 'max_depth': 18, 'min_samples_split': 84, 'min_samples_leaf': 61, 'criterion': 'entropy'}.
Trial 36 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 778, 'max_depth': 28, 'min_samples_split': 69, 'min_samples_leaf': 70, 'criterion': 'entropy'}.
Trial 37 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 929, 'max_depth': 45, 'min_samples_split': 56, 'min_samples_leaf': 22, 'criterion': 'entropy'}.
Trial 38 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 713, 'max_depth': 8, 'min_samples_split': 2, 'min_samples_leaf': 52, 'criterion': 'entropy'}.
Trial 39 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 990, 'max_depth': 35, 'min_samples_split': 118, 'min_samples_leaf': 64, 'criterion': 'entropy'}.
Trial 40 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 812, 'max_depth': 100, 'min_samples_split': 168, 'min_samples_leaf': 34, 'criterion': 'entropy'}.
Trial 41 finished with value: 0.7065217391304348 and parameters: {'n_estimators': 907, 'max_depth': 15, 'min_samples_split': 32, 'min_samples_leaf': 47, 'criterion': 'entropy'}.
Trial 42 finished with value: 0.717391304347826 and parameters: {'n_estimators': 888, 'max_depth': 15, 'min_samples_split': 13, 'min_samples_leaf': 46, 'criterion': 'entropy'}.
Trial 43 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 878, 'max_depth': 21, 'min_samples_split': 18, 'min_samples_leaf': 54, 'criterion': 'entropy'}.
Trial 44 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 741, 'max_depth': 9, 'min_samples_split': 11, 'min_samples_leaf': 44, 'criterion': 'entropy'}.
Trial 45 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 680, 'max_depth': 15, 'min_samples_split': 42, 'min_samples_leaf': 30, 'criterion': 'entropy'}.
Trial 46 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 608, 'max_depth': 18, 'min_samples_split': 11, 'min_samples_leaf': 39, 'criterion': 'entropy'}.
Trial 47 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 956, 'max_depth': 30, 'min_samples_split': 33, 'min_samples_leaf': 61, 'criterion': 'gini'}.
Trial 48 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 817, 'max_depth': 5, 'min_samples_split': 50, 'min_samples_leaf': 74, 'criterion': 'entropy'}.
Trial 49 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 781, 'max_depth': 23, 'min_samples_split': 16, 'min_samples_leaf': 47, 'criterion': 'entropy'}.
